Source,Target,Weight,SourceZone,TargetZone
FRA,MAR,366372.243,Europe,Africa
FRA,NLD,450254.979,Europe,Europe
FRA,CUW,0.06,Europe,North America
FRA,SXM,0.044,Europe,North America
FRA,NCL,1608.654,Europe,Oceania
FRA,NZL,1.514,Europe,Oceania
FRA,NOR,2446.911,Europe,Europe
FRA,MHL,4457.153,Europe,Oceania
FRA,POL,2476.6929999999998,Europe,Europe
FRA,PRT,130542.36,Europe,Europe
FRA,ROU,634.8230000000001,Europe,Europe
FRA,RUS,26.68,Europe,Asia
FRA,LCA,396.284,Europe,North America
FRA,SAU,1.147,Europe,Asia
FRA,SEN,58987.425,Europe,Africa
FRA,SRB,505.70900000000006,Europe,Europe
FRA,IND,0.002,Europe,Asia
FRA,SGP,89.94800000000001,Europe,Asia
FRA,SVK,1263.6599999999999,Europe,Europe
FRA,VNM,214.285,Europe,Asia
FRA,SVN,29.192999999999998,Europe,Europe
FRA,ZAF,5883.93,Europe,Africa
FRA,ESP,318094.277,Europe,Europe
FRA,SWE,3441.683,Europe,Europe
FRA,CHE,41278.671,Europe,Europe
FRA,THA,328.49,Europe,Asia
FRA,TGO,4229.384,Europe,Africa
FRA,ARE,21.522,Europe,Asia
FRA,TUN,64227.683000000005,Europe,Africa
FRA,TUR,8659.91,Europe,Asia
FRA,UKR,36.822,Europe,Europe
FRA,MKD,18.276,Europe,Europe
FRA,EGY,169611.22,Europe,Africa
FRA,GBR,45409.095,Europe,Europe
FRA,USA,457.25100000000003,Europe,North America
FRA,BFA,11610.554,Europe,Africa
FRA,URY,9.41,Europe,South America
FRA,YEM,59014.299,Europe,Asia
GAB,ESP,5.18,Africa,Europe
GEO,AZE,207.95600000000002,Asia,Asia
GEO,AUT,0.164,Asia,Europe
GEO,ARM,601.824,Asia,Asia
PSE,DEU,1.055,Asia,Europe
PSE,GBR,17.403,Asia,Europe
PSE,USA,4.754,Asia,North America
DEU,DZA,7185.552,Europe,Africa
DEU,AUT,9822.831,Europe,Europe
DEU,BEL,139285.69,Europe,Europe
DEU,BIH,6.021000000000001,Europe,Europe
DEU,BRN,1.713,Europe,Asia
DEU,BGR,26.867,Europe,Europe
DEU,BDI,6234.557,Europe,Africa
DEU,BLR,774.281,Europe,Europe
DEU,CAN,7.031999999999999,Europe,North America
DEU,CHL,7.32,Europe,South America
DEU,CHN,0.725,Europe,Asia
DEU,COG,4359.73,Europe,Africa
DEU,HRV,52.634,Europe,Europe
DEU,CUB,30645.98,Europe,North America
DEU,CZE,722.783,Europe,Europe
DEU,DNK,25216.769999999997,Europe,Europe
DEU,DOM,21.308,Europe,North America
DEU,EST,5.979,Europe,Europe
DEU,FIN,3.475,Europe,Europe
DEU,FRA,28304.69,Europe,Europe
DEU,GEO,12.164,Europe,Asia
DEU,GRC,4230.186,Europe,Europe
DEU,GIN,48831.184,Europe,Africa
DEU,HUN,484.371,Europe,Europe
DEU,ISL,2603.084,Europe,Europe
DEU,IRN,15122.088,Europe,Asia
DEU,IRL,19.585,Europe,Europe
DEU,ISR,8321.85,Europe,Asia
DEU,ITA,85237.194,Europe,Europe
DEU,JPN,101.317,Europe,Asia
DEU,KAZ,2.524,Europe,Asia
DEU,KEN,29074.972,Europe,Africa
